HouseholdIncome,HouseholdSize,Occupation,DistanceFromUrbanArea,IdentityGroup
78268,4,Lawyer,9.566716529739415,4
53567,4,Engineer,24.480156070232432,5
52613,2,Doctor,84.11178371514666,5
55891,4,Teacher,52.7146826948598,4
31243,5,Doctor,51.794411453983,7
51993,4,Doctor,65.33336537882188,6
96293,4,Teacher,54.914496860967255,10
65026,2,Lawyer,4.214064269475113,9
90471,2,Lawyer,58.43501991082674,2
90966,2,Engineer,77.3378157688265,4
58600,4,Engineer,38.24643085294653,9
49512,3,Doctor,49.611449349172,2
62620,3,Teacher,98.18232836000283,6
90186,5,Teacher,25.22049001195553,9
27089,4,Engineer,38.05799646708485,1
42230,2,Lawyer,5.520304556908864,4
28983,3,Engineer,31.696696356926022,8
99688,4,Doctor,83.32042058734159,2
92457,2,Engineer,80.895260762723,8
16921,5,Lawyer,64.3623913746444,9
48804,3,Teacher,37.44213779617188,1
77699,3,Doctor,31.962576281578905,8
80608,1,Lawyer,80.3817788552601,6
47619,2,Doctor,7.974271408471784,10
17877,1,Teacher,68.67372307619416,10
93966,5,Engineer,38.69219525426816,7
11871,1,Engineer,63.75916467547455,9
83135,4,Teacher,92.76102985600785,8
12496,3,Engineer,85.5400716363252,6
57954,1,Engineer,50.270119875029415,10
34675,1,Doctor,43.35560350431576,2
41921,2,Engineer,82.43338568472039,1
10797,2,Engineer,74.08443149231992,1
59811,1,Teacher,45.267240209087795,6
78755,4,Lawyer,96.92140106884416,7
90782,1,Teacher,36.95296452620419,4
91857,4,Teacher,40.35581566806676,7
62489,1,Teacher,74.12958326213115,2
94665,5,Teacher,45.45925934242767,8
51504,5,Lawyer,93.7911520278579,8
59866,1,Teacher,26.466115061667942,1
94212,2,Doctor,38.79422091639189,8
21723,4,Engineer,70.01702006600712,7
53890,5,Doctor,89.8099403557112,1
27591,4,Engineer,12.984928080507459,5
68146,3,Lawyer,24.91302296290236,3
69300,2,Lawyer,23.59809738013676,8
99141,2,Teacher,49.46142355460158,6
81557,3,Lawyer,89.26074507168386,3
30006,2,Engineer,36.452640036397106,9
13560,5,Lawyer,39.13850443644284,6
71713,3,Doctor,91.75597491368801,7
55444,5,Engineer,12.267847398596256,7
56522,5,Lawyer,63.48142861553469,5
96904,3,Lawyer,14.14868487810069,2
30737,4,Lawyer,38.050213516170686,6
38647,4,Engineer,33.11608149953214,5
71353,2,Teacher,68.33143822508242,6
90163,3,Lawyer,79.75793986777556,6
22134,5,Lawyer,50.889427576064115,7
70535,4,Doctor,30.32799644874313,4
57883,4,Teacher,88.71026463120968,9
96107,2,Lawyer,35.8351855317983,2
73360,2,Lawyer,74.10064343166765,5
61811,2,Teacher,55.98076503959131,3
19781,2,Teacher,20.950253618998616,10
29340,3,Engineer,55.303390531701226,8
37257,1,Engineer,52.44464011550515,5
26298,4,Lawyer,35.52948375288935,2
22372,2,Doctor,3.437375748589114,9
14420,5,Engineer,15.734101040874348,3
92991,4,Engineer,14.053351778132303,4
72079,2,Lawyer,71.08382880486805,4
89860,2,Doctor,71.1981392429479,5
17012,3,Teacher,61.56309302886283,2
19396,1,Doctor,67.51879461171563,7
13918,1,Lawyer,45.30407120534145,3
19359,3,Doctor,69.91163972763451,6
54259,5,Lawyer,38.454288339671955,5
33482,1,Lawyer,10.903172879651162,10
25127,5,Engineer,96.06542165311576,2
47237,4,Lawyer,8.171010299113933,6
89701,4,Doctor,2.91076003865603,10
18752,1,Doctor,97.97775193458448,5
90041,1,Engineer,15.699330684772212,6
81331,4,Lawyer,26.61152988507862,8
60624,4,Doctor,22.33735234488994,5
99183,1,Teacher,58.41132744145206,5
50133,4,Engineer,97.59941682885307,3
65153,1,Lawyer,28.02788122809656,3
72756,3,Teacher,97.03743231124908,2
91757,2,Doctor,3.5242375477621883,4
94355,1,Teacher,88.91632683635333,1
58682,5,Teacher,71.15227498656289,2
76509,1,Engineer,28.49959368951954,10
96384,4,Teacher,89.59145602563079,2
85751,5,Teacher,3.6257327072985976,7
86693,5,Lawyer,62.93802511704891,10
34777,2,Teacher,33.62472837039617,9
23824,1,Lawyer,96.74499193854284,7
12418,3,Doctor,17.68906407669439,4
22843,5,Engineer,90.24681564502872,1
88778,5,Teacher,33.66362943625014,8
46223,3,Teacher,89.03409885136902,4
71570,5,Lawyer,51.73271421714963,3
16521,4,Lawyer,51.552261786681825,6
98162,3,Engineer,39.29588820316592,10
66894,4,Teacher,53.47880465996308,8
84659,1,Doctor,94.5260406087511,4
24254,1,Engineer,89.39336244976106,5
61939,1,Teacher,68.0343255834886,8
99236,4,Doctor,64.26371106466655,7
47073,5,Teacher,55.287772439749844,8
33310,5,Doctor,27.995628668547617,4
41785,3,Teacher,15.678595572615153,7
74570,3,Lawyer,85.77399470652111,10
90577,5,Doctor,63.8706230992328,4
66356,2,Lawyer,30.66470593050514,8
33306,4,Teacher,46.56175093274733,2
46950,4,Doctor,3.42821232619273,4
88696,4,Lawyer,56.248444991477086,8
88928,2,Doctor,36.754000193327364,9
89904,3,Doctor,50.76824453613378,9
80838,3,Doctor,16.209126199834095,5
43920,4,Engineer,43.12525610565011,6
98870,3,Lawyer,90.71101221889909,4
89128,4,Doctor,1.8426474156061219,7
43538,5,Doctor,96.91754587564799,10
91411,5,Lawyer,69.39847881685658,7
18286,3,Doctor,10.842223041779429,3
28728,2,Doctor,29.687811716137308,10
23640,3,Engineer,54.368281129924625,4
78627,1,Teacher,72.69063699198693,6
55663,4,Engineer,39.49787561049772,8
13912,1,Lawyer,23.48131312483898,10
60586,3,Doctor,46.03112808196865,1
82130,5,Engineer,97.23616824511603,8
31752,4,Engineer,83.54800518836275,2
69715,3,Doctor,91.56427536659162,3
99068,2,Lawyer,67.06119956040203,6
17997,3,Teacher,44.62594321037967,1
63006,2,Lawyer,68.8241071140089,6
50800,5,Doctor,65.21123252855631,9
25620,2,Doctor,3.8809014059094693,10
80381,1,Teacher,92.03361211439258,9
64268,1,Teacher,54.703243268739634,3
79069,1,Doctor,99.12302344646517,6
78473,1,Lawyer,38.92718626336518,4
52512,1,Teacher,80.86026320604746,2
29608,2,Doctor,46.63967610559009,8
80557,1,Teacher,82.8555971504737,4
27340,4,Lawyer,54.37270526369044,9
11913,2,Doctor,88.83921910680172,6
62086,5,Lawyer,88.13057948845469,6
23429,2,Engineer,33.502027520631884,2
23907,3,Teacher,41.03806934563392,10
45489,5,Teacher,54.920088382860925,8
20088,1,Doctor,62.54759706384953,3
25588,1,Doctor,38.55625174427367,2
48395,3,Engineer,54.6708159044139,1
70155,1,Doctor,12.97101675277427,2
48214,5,Teacher,68.38902662813543,1
10469,5,Lawyer,29.424806906732577,2
53295,5,Doctor,5.254664451319705,2
84253,2,Engineer,12.493735377247237,7
44488,2,Lawyer,11.536511274445262,9
48040,5,Teacher,32.33230395260701,9
26975,2,Doctor,25.406944627032622,4
25912,2,Engineer,56.71552930550919,3
38086,4,Doctor,90.7290685093872,1
92127,2,Teacher,58.430584406436694,8
25115,4,Doctor,60.195736312814404,5
89983,4,Teacher,24.56630884021284,7
62573,2,Engineer,58.507840140631906,1
74223,2,Engineer,15.441145252068589,6
21052,2,Teacher,34.22746691544437,4
25741,1,Engineer,62.927269135208356,4
67368,4,Doctor,36.76926247738191,10
53986,1,Engineer,91.18840477982518,5
15103,5,Lawyer,87.97076976241124,10
45050,2,Teacher,43.981402061391506,1
11740,5,Doctor,52.24359791015666,7
65270,1,Engineer,47.992130814981174,6
